julia> SCOPF.print_contingency_power_flow(opfm_norm, pf, Pcc, 1.2)
Base case
         Branch    Flow  Rating
        1-2-i_1   -2.36    3.43
        1-3-i_1    1.26    3.43
        2-4-i_1   -0.32    3.43
        3-6-i_1    1.91    3.43
       3-35-i_1    0.00    6.00
        4-6-i_1    1.06    3.43
        4-7-i_1    0.28    2.00
       6-21-i_1    1.60    2.00
        7-8-i_1    0.28    1.87
      21-23-i_1    1.60    1.87
       35-5-i_1    0.00    6.75
        9-8-i_1   -0.28    2.00
       9-10-i_1   -0.13    3.43
       9-12-i_1    0.24    3.43
      10-11-i_1   -0.70    3.43
      11-12-i_1    1.72    3.43
      12-22-i_1    1.61    4.00
      22-13-i_1    0.86    1.87
      22-14-i_1    0.76    1.87
      15-14-i_1   -0.76    2.00
      15-16-i_1    0.02    3.43
      15-17-i_1    0.73    3.43
      16-13-i_1   -0.86    2.00
      16-18-i_1    1.03    3.43
      16-20-i_1    1.36    3.43
      17-19-i_1    0.73    3.43
      18-19-i_1   -0.29    3.43
      18-20-i_1   -1.74    3.43
      19-24-i_1    1.16    3.43
      20-23-i_1   -1.60    2.00
Contingency 7-8-i_1
         Branch    Flow  Rating
        1-2-i_1   -2.50    4.12
        1-3-i_1    1.40    4.12
        2-4-i_1   -0.46    4.12
        3-6-i_1    2.04    4.12
       3-35-i_1   -0.00    7.20
        4-6-i_1    1.21    4.12
        4-7-i_1    0.00    2.40
       6-21-i_1    1.87    2.40
        7-8-i_1    0.00    2.25
      21-23-i_1    1.87    2.25
       35-5-i_1    0.00    8.11
        9-8-i_1   -0.00    2.40
       9-10-i_1   -0.26    4.12
       9-12-i_1    0.09    4.12
      10-11-i_1   -0.83    4.12
      11-12-i_1    1.60    4.12
      12-22-i_1    1.34    4.80
      22-13-i_1    0.70    2.25
      22-14-i_1    0.64    2.25
      15-14-i_1   -0.64    2.40
      15-16-i_1   -0.02    4.12
      15-17-i_1    0.66    4.12
      16-13-i_1   -0.70    2.40
      16-18-i_1    1.01    4.12
      16-20-i_1    1.18    4.11
      17-19-i_1    0.66    4.12
      18-19-i_1   -0.21    4.12
      18-20-i_1   -1.84    4.12
      19-24-i_1    1.16    4.12
      20-23-i_1   -1.87    2.40
Contingency 21-23-i_1
         Branch    Flow  Rating
        1-2-i_1   -1.60    4.12
        1-3-i_1    0.50    4.12
        2-4-i_1    0.44    4.12
        3-6-i_1    1.15    4.12
       3-35-i_1    0.00    7.20
        4-6-i_1    0.23    4.12
        4-7-i_1    1.87    2.40
       6-21-i_1    0.00    2.40
        7-8-i_1    1.87    2.25
      21-23-i_1    0.00    2.25
       35-5-i_1    0.00    8.11
        9-8-i_1   -1.87    2.40
       9-10-i_1    0.60    4.12
       9-12-i_1    1.11    4.12
      10-11-i_1    0.02    4.12
      11-12-i_1    2.45    4.12
      12-22-i_1    3.21    4.80
      22-13-i_1    1.75    2.25
      22-14-i_1    1.46    2.25
      15-14-i_1   -1.46    2.40
      15-16-i_1    0.29    4.12
      15-17-i_1    1.17    4.12
      16-13-i_1   -1.75    2.40
      16-18-i_1    1.18    4.12
      16-20-i_1    2.37    4.11
      17-19-i_1    1.17    4.12
      18-19-i_1   -0.72    4.12
      18-20-i_1   -1.16    4.12
      19-24-i_1    1.16    4.12
      20-23-i_1    0.00    2.40
Contingency 22-13-i_1
         Branch    Flow  Rating
        1-2-i_1   -2.50    4.12
        1-3-i_1    1.40    4.12
        2-4-i_1   -0.46    4.12
        3-6-i_1    2.04    4.12
       3-35-i_1    0.00    7.20
        4-6-i_1    1.21    4.12
        4-7-i_1   -0.00    2.40
       6-21-i_1    1.87    2.40
        7-8-i_1   -0.00    2.25
      21-23-i_1    1.87    2.25
       35-5-i_1    0.00    8.11
